edad,antiguedad_meses,plan,cargo_mensual,llamadas_soporte,fuga
36,55,Básico,31,3,si
69,53,Básico,27,1,no
63,8,Premium,86,5,si
69,52,Básico,36,3,no
73,26,Estándar,69,1,no
19,5,Premium,99,5,no
33,70,Básico,32,0,no
56,65,Básico,40,1,no
65,38,Estándar,58,0,no
50,38,Estándar,36,2,no
28,14,Estándar,44,4,si
66,66,Estándar,38,0,no
52,52,Premium,70,0,no
29,8,Básico,32,5,si
61,35,Premium,77,1,si
63,16,Básico,29,1,no
47,51,Básico,44,1,no
22,57,Básico,40,0,no
52,65,Estándar,56,3,no
71,15,Básico,18,1,no
20,33,Premium,75,0,no
73,25,Estándar,52,1,no
52,1,Básico,24,3,no
52,55,Premium,74,1,no
60,7,Básico,23,2,si
61,8,Básico,32,1,si
59,39,Básico,41,1,no
38,56,Estándar,55,0,no
19,55,Premium,91,1,no
32,7,Estándar,78,4,si
19,14,Básico,31,3,no
24,61,Estándar,31,1,no
68,34,Estándar,40,0,no
73,69,Estándar,67,0,no
21,5,Premium,94,4,no
67,69,Estándar,43,0,no
73,72,Básico,21,2,no
30,5,Estándar,31,2,no
22,51,Básico,47,2,no
74,47,Premium,82,1,no
34,69,Estándar,44,1,no
48,14,Básico,29,2,no
28,67,Estándar,66,0,no
21,72,Estándar,60,2,no
53,62,Estándar,52,1,no
55,66,Premium,89,2,no
47,52,Premium,62,2,no
35,12,Básico,46,1,no
35,61,Premium,103,1,no
18,68,Estándar,56,0,no
47,49,Básico,38,1,no
23,71,Básico,38,0,no
42,24,Estándar,42,0,no
55,10,Básico,16,1,no
72,19,Básico,35,2,si
70,18,Básico,27,1,si
46,31,Básico,46,3,no
25,48,Básico,41,1,si
30,6,Estándar,53,4,si
36,30,Básico,32,0,no
50,19,Estándar,50,1,no
22,60,Estándar,60,1,no
46,25,Estándar,51,0,no
37,52,Premium,104,2,no
20,70,Básico,25,2,no
42,13,Estándar,43,0,no
23,23,Básico,23,1,no
38,15,Básico,22,1,si
30,17,Estándar,72,3,no
37,2,Estándar,61,6,si
59,44,Básico,46,2,no
54,2,Estándar,49,4,no
31,25,Estándar,47,1,no
71,2,Estándar,61,7,si
72,13,Básico,32,4,si
27,15,Básico,37,0,no
73,24,Premium,96,2,no
51,24,Básico,38,2,no
68,22,Básico,34,2,no
53,11,Básico,28,0,no
72,28,Estándar,35,1,no
64,62,Básico,31,0,no
65,68,Básico,32,1,no
63,20,Básico,31,1,si
30,1,Básico,34,3,si
28,12,Básico,16,1,no
70,36,Estándar,65,1,no
43,59,Premium,117,3,si
43,26,Premium,79,1,no
36,19,Básico,29,1,no
56,13,Premium,114,3,si
36,59,Básico,35,2,no
41,35,Estándar,54,0,no
58,43,Premium,101,1,no
41,3,Básico,28,1,no
43,39,Estándar,59,0,no
59,70,Premium,80,1,no
61,3,Básico,41,2,si
60,36,Premium,92,1,no
61,4,Premium,82,4,si
66,46,Premium,74,3,no
37,24,Básico,25,1,no
30,16,Premium,108,2,no
57,46,Estándar,64,0,no
71,29,Estándar,37,2,no
25,65,Estándar,62,2,no
72,64,Estándar,37,0,no
62,20,Básico,33,1,no
64,46,Básico,34,0,no
59,15,Básico,24,2,no
42,23,Básico,29,3,si
69,23,Estándar,69,2,no
38,58,Básico,25,2,no
23,20,Estándar,47,0,no
23,24,Estándar,77,1,no
61,40,Premium,94,1,no
40,63,Básico,40,2,no
49,52,Estándar,52,1,no
30,5,Básico,38,2,si
41,60,Básico,29,0,no
43,45,Básico,25,1,no
43,32,Estándar,55,0,no
39,65,Básico,24,0,no
75,58,Básico,38,1,no
33,2,Básico,39,3,si
64,60,Básico,26,2,no
63,47,Básico,37,2,no
65,18,Premium,99,1,no
19,5,Estándar,57,2,no
46,37,Premium,99,1,no
66,44,Básico,32,0,no
32,3,Premium,90,3,no
75,8,Básico,36,2,no
26,6,Premium,97,4,si
74,53,Estándar,61,0,no
73,24,Estándar,58,1,no
62,44,Estándar,54,1,no
23,7,Básico,36,1,no
20,29,Básico,36,0,no
65,33,Premium,88,2,no
18,70,Estándar,68,1,no
18,48,Premium,77,0,no
38,54,Estándar,49,0,no
59,48,Básico,14,1,no
64,20,Estándar,45,2,no
64,14,Básico,32,2,si
50,15,Estándar,67,2,si
37,18,Básico,36,1,no
43,40,Premium,69,1,no
36,21,Básico,22,0,no
57,36,Estándar,47,1,no
40,26,Básico,30,1,no
44,22,Básico,20,1,no
73,65,Básico,24,1,no
24,32,Básico,25,2,no
32,45,Estándar,64,1,no
70,22,Estándar,48,1,no
55,54,Básico,21,1,no
57,46,Estándar,49,0,si
37,18,Estándar,43,2,no
61,64,Estándar,48,1,no
58,44,Estándar,59,2,si
25,5,Premium,111,6,no
74,70,Básico,25,1,no
27,58,Básico,28,1,si
40,50,Premium,83,1,no
44,5,Estándar,67,3,si
39,55,Básico,13,1,no
72,24,Básico,23,1,no
32,56,Básico,28,1,si
43,17,Estándar,59,1,no
33,45,Estándar,40,0,no
21,44,Estándar,50,0,no
64,38,Premium,108,0,no
31,54,Básico,39,2,no
68,23,Básico,21,2,no
50,7,Premium,90,3,no
22,40,Estándar,58,3,si
39,62,Estándar,73,2,no
65,66,Básico,31,0,no
51,15,Estándar,47,1,no
73,58,Estándar,64,0,no
24,11,Premium,78,1,si
39,2,Premium,90,1,no
32,48,Estándar,54,0,si
25,31,Estándar,56,0,no
24,65,Estándar,51,2,no
46,11,Estándar,57,2,si
36,58,Estándar,64,0,no
60,18,Estándar,67,2,no
70,53,Básico,15,1,si
25,5,Básico,34,4,si
32,41,Estándar,67,1,si
50,69,Básico,31,0,no
74,26,Estándar,47,2,no
50,67,Básico,38,1,si
25,45,Básico,24,1,no
75,11,Premium,70,4,no
71,71,Estándar,45,1,no
34,53,Estándar,57,1,si
42,68,Básico,35,1,no
75,54,Básico,29,2,si
31,60,Estándar,51,2,no
19,33,Básico,23,1,si
70,29,Premium,119,3,si
60,3,Estándar,48,4,si
70,39,Estándar,51,2,no
52,12,Premium,96,0,no
21,2,Básico,37,3,no
45,39,Básico,38,0,no
35,58,Estándar,58,3,no
65,19,Estándar,61,2,no
51,12,Básico,24,4,no
55,69,Estándar,67,3,no
20,7,Básico,26,1,no
23,72,Básico,22,2,no
46,42,Estándar,43,0,no
26,70,Básico,40,2,no
75,18,Estándar,47,1,no
26,71,Estándar,54,2,no
34,55,Básico,26,1,no
22,45,Estándar,57,1,no
74,40,Básico,31,0,no
31,40,Estándar,49,0,no
50,51,Premium,88,0,no
46,66,Premium,95,2,no
27,17,Básico,25,1,no
65,46,Básico,33,1,no
33,1,Básico,35,2,si
43,52,Básico,29,2,si
21,40,Estándar,72,2,no
56,58,Básico,20,3,no
66,72,Premium,82,2,no
59,37,Básico,36,2,no
71,57,Estándar,43,2,no
27,17,Premium,106,1,no
69,37,Básico,23,1,no
29,21,Premium,96,0,si
25,32,Estándar,54,1,si
18,28,Estándar,56,0,no
22,29,Básico,32,4,no
63,71,Estándar,70,2,no
67,20,Estándar,54,0,si
49,43,Estándar,57,0,no
68,38,Básico,26,1,no
69,34,Básico,30,1,no
38,59,Estándar,44,0,no
45,33,Estándar,62,0,no
75,68,Básico,37,1,no
41,31,Básico,30,1,si
59,42,Básico,37,1,no
72,24,Básico,14,1,no
25,63,Estándar,58,1,no
55,2,Estándar,60,5,no
52,4,Básico,45,1,no
30,27,Básico,36,1,si
65,51,Estándar,72,1,no
49,24,Premium,82,1,no
73,22,Básico,29,1,si
41,53,Estándar,56,2,no
20,36,Básico,29,3,no
69,43,Premium,65,0,no
30,32,Básico,48,1,si
68,35,Premium,88,2,no
37,48,Estándar,51,2,no
62,30,Estándar,63,0,si
25,58,Estándar,61,2,no
39,46,Básico,34,1,no
62,33,Básico,30,0,no
52,62,Básico,22,1,no
60,38,Estándar,55,0,no
26,52,Estándar,55,1,no
29,45,Básico,29,1,no
18,12,Básico,33,4,si
71,44,Básico,26,3,no
66,26,Básico,25,1,no
25,54,Básico,29,2,no
70,55,Básico,21,1,no
40,36,Básico,17,1,no
34,38,Básico,39,1,no
20,22,Estándar,80,1,si
18,22,Estándar,50,1,si
56,44,Premium,98,1,si
48,69,Estándar,68,2,no
71,45,Estándar,62,1,no
41,67,Básico,30,1,si
41,53,Premium,68,2,no
48,16,Premium,80,2,no
56,6,Básico,29,3,no
58,42,Estándar,66,1,no
31,24,Estándar,39,0,no
54,69,Básico,38,1,no
55,38,Básico,26,0,no
40,54,Básico,12,1,no
33,7,Estándar,65,3,si
25,44,Básico,37,0,si
67,6,Premium,76,5,no
28,52,Básico,33,1,no
54,24,Básico,34,1,no
18,72,Básico,34,1,no
59,33,Estándar,56,1,no
19,12,Estándar,60,2,si
33,49,Estándar,53,0,no
19,32,Básico,41,0,no
32,55,Premium,68,1,no
26,7,Premium,97,3,si
55,20,Estándar,53,0,no
67,56,Básico,34,0,no
18,4,Básico,30,2,no
20,37,Básico,29,0,no
28,18,Básico,20,2,no
34,72,Básico,37,1,no
18,58,Básico,25,0,no
37,63,Estándar,54,1,no
44,12,Básico,43,1,no
64,24,Básico,36,1,si
18,61,Premium,61,3,no
55,45,Premium,100,3,no
69,51,Básico,34,4,no
25,70,Premium,88,1,no
70,70,Estándar,57,1,no
45,27,Básico,39,1,no
56,72,Estándar,43,1,no
30,19,Básico,33,1,no
28,19,Estándar,46,1,no
26,26,Estándar,70,0,no
54,49,Estándar,63,0,no
39,7,Estándar,53,5,no
55,16,Estándar,57,1,no
32,15,Estándar,38,2,si
26,6,Estándar,47,2,si
31,37,Básico,42,1,no
69,54,Estándar,42,1,no
19,10,Estándar,50,5,si
33,42,Básico,34,1,no
54,11,Estándar,56,1,no
58,72,Estándar,32,2,no
59,13,Básico,26,1,no
73,72,Básico,28,0,no
28,29,Premium,83,2,no
37,64,Básico,14,1,no
46,42,Premium,67,1,no
26,64,Estándar,61,1,no
41,7,Básico,31,3,si
59,56,Básico,44,0,no
60,46,Premium,70,0,no
54,63,Estándar,42,1,no
56,27,Premium,98,2,no
73,14,Básico,36,1,si
51,39,Estándar,63,0,no
59,62,Estándar,52,2,no
54,69,Estándar,81,0,no
30,51,Estándar,50,2,no
39,64,Premium,79,1,no
69,68,Premium,72,3,no
18,19,Premium,97,3,si
37,35,Premium,61,2,no
35,2,Básico,23,3,si
51,2,Estándar,50,1,no
61,3,Estándar,65,4,si
66,18,Estándar,46,2,no
25,40,Estándar,75,0,no
24,54,Premium,101,0,no
31,13,Premium,97,1,no
36,19,Estándar,46,0,no
57,65,Básico,32,1,no
74,71,Básico,29,1,no
61,6,Estándar,64,1,no
53,66,Estándar,41,3,no
72,43,Básico,29,1,no
43,50,Básico,20,1,no
50,56,Premium,77,2,no
69,63,Estándar,43,0,no
59,12,Básico,19,1,no
62,14,Básico,28,0,no
55,57,Estándar,63,1,no
32,55,Premium,77,1,no
46,21,Estándar,42,0,no
70,30,Básico,23,0,no
68,50,Básico,37,1,si
18,21,Básico,20,1,no
21,33,Estándar,58,1,si
72,45,Básico,25,0,no
22,1,Estándar,61,5,si
64,57,Premium,98,2,no
57,22,Básico,33,1,no
55,46,Básico,43,0,no
72,71,Básico,20,1,no
32,1,Premium,124,5,si
62,59,Básico,21,1,no
21,8,Básico,29,2,si
49,71,Premium,103,3,no
33,10,Estándar,60,1,no
61,42,Estándar,60,1,no
33,27,Estándar,52,1,si
60,6,Básico,32,5,si
73,53,Básico,27,0,no
21,46,Básico,30,0,no
42,52,Estándar,72,0,no
68,48,Básico,32,0,no
26,71,Premium,103,2,no
44,26,Estándar,55,1,no
58,31,Estándar,42,1,no
19,32,Estándar,73,1,no
64,36,Básico,32,0,no
58,22,Premium,70,1,no
60,11,Estándar,65,1,si
56,15,Básico,50,3,si
48,54,Básico,34,1,no
31,5,Estándar,62,4,no
53,54,Básico,33,1,no
39,39,Premium,58,0,no
48,13,Básico,24,2,no
28,67,Premium,67,1,no
42,38,Básico,26,2,no
59,20,Básico,35,3,si
29,64,Premium,96,2,no
42,37,Básico,12,1,no
72,24,Premium,86,4,no
35,15,Premium,89,2,no
56,8,Estándar,54,5,si
53,19,Básico,34,2,si
25,30,Estándar,67,1,si
55,17,Estándar,56,0,no
37,14,Básico,30,2,si
69,59,Estándar,50,2,si
47,72,Premium,118,2,si
53,42,Premium,120,0,no
27,67,Básico,25,4,no
23,29,Estándar,44,1,no
71,64,Estándar,61,0,no
26,40,Estándar,62,1,si
41,58,Básico,35,1,no
32,6,Estándar,51,5,si
67,23,Estándar,77,1,si
71,30,Básico,22,2,no
56,8,Estándar,49,4,si
56,40,Básico,39,2,no
67,10,Estándar,55,1,si
46,64,Básico,22,1,no
22,8,Estándar,60,1,si
25,70,Estándar,51,1,no
33,59,Premium,95,1,no
42,27,Premium,100,1,si
35,4,Básico,37,1,no
40,29,Básico,47,0,no
63,48,Estándar,50,2,no
44,17,Básico,30,0,si
68,48,Estándar,35,1,no
47,18,Estándar,41,0,no
64,20,Estándar,69,1,si
69,67,Premium,87,1,no
52,27,Premium,89,1,no
42,2,Estándar,64,3,si
66,12,Estándar,44,2,no
59,8,Premium,83,2,no
31,43,Básico,29,1,no
36,58,Básico,42,1,no
45,12,Estándar,67,2,no
28,53,Estándar,73,0,no
33,32,Básico,36,1,no
45,55,Premium,68,1,no
22,48,Básico,27,1,si
48,17,Premium,110,1,no
26,62,Básico,20,3,no
74,7,Estándar,46,0,no
45,45,Estándar,67,1,no
70,37,Básico,52,1,no
36,62,Básico,22,3,no
18,4,Básico,26,2,si
23,24,Estándar,55,0,no
74,27,Básico,52,0,no
18,6,Básico,44,2,si
31,19,Básico,26,1,no
23,8,Premium,88,6,si
32,43,Estándar,52,0,no
52,4,Básico,24,2,si
18,45,Estándar,61,1,no
26,13,Estándar,51,2,no
73,13,Estándar,44,2,no
28,59,Estándar,54,1,no
28,24,Premium,68,1,no
56,64,Básico,26,4,no
67,50,Premium,79,1,no
21,47,Estándar,66,1,no
67,19,Estándar,53,2,no
29,21,Básico,29,2,no
75,50,Estándar,49,1,no
43,48,Básico,23,0,no
59,55,Básico,47,0,no
58,21,Premium,63,1,no
36,32,Premium,105,1,si
37,41,Estándar,72,1,no
20,60,Básico,13,2,no
25,46,Premium,99,5,no
61,30,Básico,36,2,no
70,34,Premium,66,0,no
23,34,Básico,24,2,no
66,54,Estándar,47,0,no
66,22,Estándar,56,3,si
33,3,Premium,76,3,si
61,54,Premium,67,1,no
27,48,Básico,34,1,no
57,9,Básico,36,1,no
72,21,Estándar,61,1,no
22,58,Básico,31,1,no
31,59,Básico,35,0,no
21,33,Premium,87,1,no
38,65,Básico,33,3,no
64,19,Estándar,56,3,no
18,13,Básico,38,2,no
44,2,Estándar,56,3,si
26,11,Básico,40,0,no
29,28,Básico,21,1,no
56,24,Premium,93,1,no
43,49,Básico,38,1,no
66,37,Premium,81,1,no
37,23,Básico,27,0,no
50,62,Básico,27,1,no
54,24,Estándar,55,1,no
24,11,Básico,26,3,no
61,58,Estándar,39,0,no
44,43,Estándar,52,0,no
44,32,Estándar,63,0,no
22,12,Estándar,61,1,no
22,55,Básico,37,0,no
20,40,Estándar,54,0,no
55,71,Estándar,55,1,no
74,9,Básico,26,2,no
52,51,Básico,31,1,no
65,44,Estándar,68,0,no
29,14,Estándar,41,1,no
48,29,Básico,33,0,no
21,53,Premium,83,2,no
19,21,Premium,78,0,si
35,2,Básico,22,3,no
50,23,Estándar,46,3,no
42,49,Básico,19,0,no
57,30,Básico,35,1,no
32,31,Estándar,54,0,no
26,71,Premium,105,1,no
74,62,Estándar,66,1,no
18,5,Estándar,38,1,no
55,69,Estándar,49,2,no
31,68,Premium,81,2,no
61,13,Premium,71,0,no
66,3,Básico,38,3,no
71,69,Básico,15,0,no
37,66,Premium,71,1,no
64,11,Básico,33,3,no
47,45,Estándar,56,1,no
56,49,Estándar,55,0,no
35,46,Estándar,39,0,no
49,34,Estándar,60,0,no
66,31,Premium,50,1,no
66,61,Básico,31,3,no
39,32,Estándar,41,1,no
66,2,Premium,91,5,no
55,52,Estándar,53,1,no
23,66,Estándar,46,1,no
43,44,Básico,21,3,no
38,36,Premium,100,3,no
23,33,Estándar,42,1,no
64,29,Básico,32,1,no
22,65,Premium,71,1,no
28,16,Básico,19,0,no
74,15,Estándar,56,0,si
30,69,Básico,36,0,no
65,14,Premium,93,3,si
22,42,Básico,31,1,no
65,56,Estándar,61,0,no
44,40,Básico,23,2,no
58,17,Estándar,34,0,no
42,49,Estándar,57,1,no
26,71,Básico,29,2,no
25,19,Estándar,52,1,no
53,4,Básico,28,3,si
34,11,Estándar,37,1,no
46,49,Premium,58,1,si
24,25,Básico,29,2,si
55,42,Premium,87,0,no
55,46,Estándar,74,1,no
67,53,Estándar,38,0,no
66,15,Premium,79,2,no
69,71,Básico,29,1,no
56,21,Estándar,69,1,no
65,16,Básico,24,1,no
45,31,Estándar,56,1,no
35,19,Básico,30,0,no
23,65,Básico,36,1,no
38,34,Premium,86,1,no
58,43,Básico,30,1,no
28,11,Estándar,45,0,no
28,50,Básico,33,1,no
54,13,Estándar,62,2,no
52,23,Básico,18,2,no
68,27,Básico,28,0,no
75,7,Estándar,31,3,no
57,34,Estándar,57,1,no
58,63,Premium,83,0,no
40,63,Premium,102,2,no
33,28,Estándar,54,2,no
69,32,Estándar,40,1,si
42,13,Estándar,66,2,no
38,41,Premium,90,1,no
68,55,Premium,77,2,no
30,1,Básico,30,2,no
44,57,Estándar,57,0,no
53,20,Premium,57,1,si
73,67,Premium,61,0,no
52,19,Estándar,70,0,no
36,10,Básico,33,1,no
24,28,Estándar,58,2,si
33,26,Estándar,55,1,si
44,62,Estándar,63,1,no
36,70,Básico,20,1,no
24,11,Estándar,53,2,no
37,17,Básico,24,1,no
29,16,Estándar,68,1,no
19,71,Premium,84,0,no
41,58,Básico,21,0,no
66,12,Premium,99,2,no
49,4,Básico,38,4,si
58,72,Básico,25,1,no
63,59,Estándar,51,2,no
49,34,Premium,102,1,no
72,38,Premium,88,3,no
48,51,Premium,82,0,no
55,2,Estándar,65,1,no
31,67,Estándar,62,1,no
47,24,Básico,36,2,no
52,22,Básico,29,2,no
54,34,Premium,97,2,no
71,7,Estándar,65,1,no
41,45,Básico,32,2,no
51,58,Estándar,53,1,no
31,17,Estándar,54,1,no
70,15,Básico,18,3,si
27,3,Estándar,57,3,no
21,35,Estándar,51,2,no
39,38,Premium,92,0,si
23,34,Básico,19,1,no
72,62,Estándar,79,2,no
71,35,Premium,62,1,no
23,37,Estándar,46,0,no
44,21,Básico,24,2,no
28,34,Estándar,61,0,no
72,40,Estándar,57,3,no
19,7,Básico,40,3,si
27,5,Básico,33,5,si
29,51,Básico,44,4,si
51,35,Básico,24,0,no
56,3,Básico,32,6,si
21,56,Premium,83,1,no
57,64,Básico,38,0,no
38,28,Básico,29,0,si
35,44,Estándar,40,1,no
70,59,Básico,33,3,no
35,7,Premium,97,3,si
70,5,Estándar,71,4,no
63,61,Básico,25,0,no
71,56,Básico,36,2,no
21,41,Básico,36,2,no
66,5,Básico,33,2,no
60,15,Premium,92,1,no
60,49,Estándar,50,1,no
46,20,Premium,101,0,no
56,48,Estándar,61,2,si
66,63,Estándar,60,0,no
31,19,Estándar,58,1,no
55,21,Estándar,55,0,si
39,38,Básico,28,0,si
30,37,Básico,29,2,no
54,53,Básico,28,0,si
20,17,Básico,36,1,no
51,22,Básico,31,0,no
53,49,Básico,21,1,no
27,33,Estándar,36,3,no
55,16,Básico,27,2,no
70,17,Premium,85,1,si
51,14,Estándar,36,2,no
37,58,Básico,37,2,no
42,35,Básico,32,2,no
58,68,Básico,20,1,no
69,58,Estándar,59,1,no
68,13,Básico,33,2,no
51,9,Estándar,61,4,no
38,40,Estándar,40,3,si
36,38,Básico,22,0,no
28,30,Básico,26,3,no
64,50,Básico,28,0,no
27,26,Estándar,60,0,si
33,36,Premium,62,2,no
25,16,Estándar,48,1,no
58,42,Estándar,61,1,no
38,17,Básico,18,6,si
22,59,Básico,20,1,no
72,39,Básico,26,2,no
61,60,Básico,23,1,no
44,28,Básico,30,0,no
50,25,Básico,20,0,no
26,69,Premium,107,0,no
44,33,Premium,113,0,no
32,29,Estándar,62,0,no
48,68,Básico,32,0,no
43,3,Premium,90,3,no
40,63,Estándar,61,1,no
31,68,Estándar,32,3,no
65,66,Básico,39,0,no
30,11,Estándar,60,2,no
22,56,Premium,102,0,si
74,11,Premium,95,4,si
51,30,Estándar,56,1,no
19,15,Premium,104,0,no
42,13,Premium,71,3,si
71,22,Premium,68,1,no
39,48,Básico,29,0,no
21,40,Básico,22,1,no
52,71,Estándar,55,1,no
55,61,Estándar,64,1,no
20,42,Premium,101,1,si
39,60,Básico,26,1,no
40,22,Básico,32,1,no
51,30,Estándar,85,1,no
62,51,Premium,90,0,no
57,66,Estándar,43,1,no
57,39,Estándar,64,1,no
67,44,Básico,29,0,no
63,7,Estándar,62,0,no
51,40,Básico,36,2,no
38,4,Premium,88,5,si
53,43,Básico,29,0,no
34,7,Estándar,52,2,no
27,5,Premium,95,5,no
58,19,Estándar,56,0,no
41,50,Estándar,52,1,no
52,40,Estándar,65,2,no
54,49,Básico,26,2,no
45,60,Estándar,27,3,no
29,10,Básico,25,3,si
23,21,Básico,28,0,no
65,70,Básico,22,0,no
75,38,Estándar,53,1,no
46,20,Premium,84,2,no
48,60,Estándar,48,1,no
27,52,Estándar,54,2,no
22,52,Estándar,51,1,no
33,48,Estándar,51,2,no
43,63,Estándar,48,2,no
42,58,Estándar,50,4,no
18,48,Estándar,41,2,no
75,61,Estándar,54,0,no
61,34,Estándar,66,0,no
47,30,Básico,40,0,no
68,59,Básico,20,2,no
28,37,Estándar,54,1,no
21,67,Básico,18,1,no
44,16,Premium,78,1,no
49,18,Premium,88,1,si
36,61,Estándar,63,1,no
45,11,Básico,29,1,no
55,70,Estándar,32,1,no
44,1,Premium,82,2,si
51,37,Básico,32,1,no
69,60,Premium,71,2,no
61,23,Premium,100,2,no
62,2,Básico,13,2,no
40,56,Básico,23,1,si
71,35,Premium,113,1,si
32,22,Básico,34,0,no
65,62,Premium,71,2,no
53,29,Estándar,60,1,no
45,23,Básico,23,1,si
67,60,Premium,92,0,no
51,29,Premium,109,2,no
36,52,Estándar,63,0,no
29,10,Básico,24,2,no
55,36,Estándar,65,2,no
49,12,Premium,84,2,si
31,59,Premium,83,0,no
60,38,Premium,115,0,no
37,66,Estándar,41,0,no
59,65,Estándar,71,0,no
20,18,Premium,73,0,si
36,37,Básico,31,1,no
63,22,Básico,24,2,si
23,15,Premium,104,1,no
44,12,Estándar,58,6,si
57,68,Básico,35,2,no
27,9,Básico,28,1,no
22,62,Estándar,49,2,no
28,3,Básico,32,2,no
63,59,Básico,12,2,no
21,41,Premium,91,2,no
56,51,Estándar,40,2,si
22,36,Estándar,48,0,no
28,32,Premium,72,1,no
73,15,Básico,33,0,no
54,25,Básico,43,1,no
43,30,Básico,27,1,no
23,48,Básico,30,1,no
51,22,Básico,19,0,no
32,64,Premium,103,0,no
18,12,Básico,47,4,no
73,27,Estándar,69,0,no
23,53,Estándar,46,1,no
48,60,Estándar,35,1,no
45,43,Estándar,50,0,no
63,9,Premium,115,2,no
45,36,Premium,103,3,no
22,31,Estándar,49,1,no
40,20,Básico,34,0,no
38,49,Estándar,35,1,no
51,36,Estándar,69,2,no
54,59,Básico,36,0,no
64,62,Básico,40,1,no
19,71,Estándar,53,1,no
71,47,Premium,73,3,no
69,32,Estándar,58,0,no
20,66,Estándar,56,0,no
39,51,Básico,39,0,si
20,25,Premium,79,2,no
46,29,Básico,43,2,no
35,60,Estándar,46,1,no
31,25,Estándar,62,0,no
49,23,Premium,98,2,no
65,58,Básico,42,1,no
49,71,Básico,29,0,no
42,38,Estándar,54,0,si
27,58,Básico,37,0,no
61,67,Estándar,80,2,no
19,17,Estándar,50,2,no
45,32,Estándar,64,0,no
61,57,Estándar,51,0,no
22,61,Básico,40,3,no
65,50,Básico,25,0,no
18,39,Básico,23,0,no
30,61,Estándar,41,1,no
58,72,Estándar,54,0,no
53,8,Estándar,54,0,no
51,70,Básico,16,1,no
73,50,Básico,27,0,no
50,58,Premium,115,3,no
65,16,Estándar,44,0,no
22,6,Premium,62,6,si
18,4,Básico,34,5,si
65,12,Básico,36,4,no
54,53,Básico,27,3,no
68,47,Estándar,54,2,no
73,34,Estándar,58,1,no
75,24,Estándar,56,0,no
53,56,Básico,41,0,no
50,64,Premium,94,1,no
19,50,Básico,23,1,no
62,72,Básico,22,1,no
54,42,Básico,29,1,no
32,70,Estándar,68,2,no
45,23,Estándar,52,0,no
25,61,Estándar,61,1,no
26,70,Básico,29,1,no
65,63,Premium,89,1,no
65,50,Básico,30,1,no
39,26,Premium,88,2,no
56,11,Básico,43,2,no
34,26,Estándar,40,1,no
57,67,Básico,33,2,no
48,58,Básico,32,0,no
36,24,Básico,35,3,si
28,1,Premium,98,3,si
21,61,Estándar,53,0,no
23,33,Premium,93,2,no
35,27,Estándar,58,0,no
66,6,Básico,40,1,no
71,61,Estándar,52,0,no
31,28,Premium,88,3,no
51,28,Premium,94,1,no
26,21,Premium,70,0,no
53,34,Básico,30,1,no
43,5,Estándar,50,2,si
60,40,Premium,115,2,no
34,68,Estándar,53,1,no
30,14,Estándar,60,0,si
23,63,Estándar,74,0,no
18,63,Estándar,58,2,no
55,2,Básico,27,2,no
54,12,Estándar,43,3,no
47,24,Estándar,73,0,no
41,57,Estándar,51,0,no
55,55,Premium,82,1,no
48,38,Básico,39,0,no
73,34,Básico,13,0,no
34,41,Premium,74,1,no
74,4,Básico,20,4,si
64,16,Básico,30,4,no
69,33,Básico,41,1,no
45,35,Básico,20,1,no
63,37,Estándar,22,2,no
47,61,Estándar,45,1,no
69,45,Básico,26,0,no
52,16,Premium,107,1,si
31,32,Estándar,50,1,no
70,55,Premium,86,0,no
73,43,Estándar,67,3,no
68,50,Estándar,58,2,no
31,4,Estándar,48,4,si
59,5,Básico,39,3,si
59,16,Estándar,47,2,no
18,3,Premium,85,2,no
21,45,Premium,98,0,no
61,42,Básico,31,0,no
41,47,Básico,45,1,no
39,39,Premium,87,0,no
44,38,Básico,39,2,no
21,65,Básico,30,0,no
27,37,Estándar,50,2,no
44,60,Estándar,73,0,no
45,58,Estándar,41,2,no
25,26,Básico,28,1,no
45,72,Premium,105,1,no
69,12,Básico,38,3,si
20,32,Básico,32,1,no
56,11,Estándar,63,2,si
60,31,Básico,34,1,no
45,52,Estándar,55,0,no
72,4,Básico,47,3,no
70,39,Estándar,53,0,no
37,19,Estándar,68,1,no
69,67,Estándar,75,0,no
47,27,Básico,37,1,no
34,43,Básico,26,0,si
22,17,Básico,37,1,si
30,33,Estándar,57,2,no
60,3,Básico,25,1,no
48,55,Estándar,27,0,no
49,6,Estándar,72,2,si
48,3,Premium,84,4,no
32,6,Básico,23,3,no
71,20,Básico,36,1,no
66,19,Básico,32,0,si
40,56,Básico,28,1,no
30,30,Estándar,54,2,no
30,19,Estándar,65,1,no
59,9,Premium,70,1,no
63,48,Básico,28,2,no
65,35,Premium,79,0,no
59,70,Básico,23,1,no
75,11,Estándar,64,0,no
42,45,Básico,26,1,no
43,24,Estándar,38,1,no
42,9,Estándar,63,4,si
21,7,Estándar,62,2,no
35,60,Básico,35,0,no
62,15,Básico,36,0,no
64,68,Estándar,58,1,no
34,66,Estándar,42,0,no
55,61,Estándar,55,2,no
30,27,Estándar,49,1,no
39,43,Básico,35,1,no
32,22,Básico,41,1,no
59,8,Premium,72,3,no
22,43,Estándar,79,3,no
29,33,Premium,94,2,no
24,8,Básico,40,3,si
22,65,Estándar,41,0,no
22,13,Premium,82,2,no
39,42,Básico,25,1,no
33,38,Estándar,84,2,no
51,10,Premium,107,6,si
20,44,Básico,33,0,no
69,9,Premium,80,4,si
